pdf_page,figure_no,species_common,height_b1,height_b2,height_b3,height_b4,height_b5,si_b1,si_b2,si_b3,si_b4,si_b5,parse_status,source,years_to_bh
103,82,Shortleaf pine plantations,,,,,,,,,,,too_few:0,"Figure 82. - Shortleaf pine plantations (Smalley and Bower 1971) Central Tennessee, Northern Alabama, and Northwest Georgia 104 plantations, number of dominant trees not given Total height and age from seed, anamorphic, logarithm equation Site index is total height at 25 years age from seed Convert DBH age to age from seed by adding years according to site index (BH - 0.0)",
104,83,Shortleaf pine plantations,1.4105,0.9977,-0.0747,2.0668,-0.0104,0.6996,1.0078,-0.0761,-2.2217,-0.0262,ok,"Figure 83. - Shortleaf pine plantations (Gilmore and Metcalf 1961 b) Southern Illinois 61 plantations, number of dominant and codominant trees not given Total height and plantation age, anamorphic, logarithm equation Site index is total height at plantation age of 25 years Convert DBH age to plantation age by adding years according to site index (BH 0.0)",
105,84,Slash pine,1.1557,1.0031,-0.0408,0.9807,0.0314,0.8565,1.0002,-0.0421,-1.1093,0.0124,ok,"Figure 84. - Slash pine (USDA 1929) Southern States 124 plots, number of dominant trees not given Total height and total age, anamorphic, equation not given Convert DBH age to total age by adding years according to site index (BH = 0.0)",
106,85,SIash pine,1.6072,0.9192,-0.039,12.9271,-0.6427,0.5764,1.0893,-0.0268,-5.478,-0.5358,ok,"Figure 85. - SIash pine (Schumacher and Coile 1960, Coile and Schumacher 1964) Southeastern and southern States 231 plots having 8 dominant and codominant trees on each plot Total height and total age, anamorphic, logarithm equation Convert DBH age to total age by adding years according to site index (BH 0.0)",
107,86,Slash pine,1.3379,0.9999,-0.0534,0.9608,-0.0001,0.6874,1.0212,-0.0555,-1.3771,-0.0775,ok,"Figure 86. - Slash pine (Langdon 1959) Florida 90 permanent growth study plots, number of dominant and codominant trees not given Total height and total age, anamorphic, logarithm equation Site index is total height at 25 years total age Convert DBH age to total age by adding years according to site index (BH 0.0)",
108,87,Slash pine,1.151,1,-0.0375,0.8394,0,0.847,1.0062,-0.038,-1.0187,-0.041,ok,"Figure 87. - Slash pine (Bennett 1970) Florida and southern Georgia 176 permanent growth study plots, number of dominant and codominant trees not given Total height and total age, anamorphic, logarithm equation Convert DBH age to total age by adding years according to site index (BH 0.0)",
109,88,Slash pine plantations,2.0185,0.8815,-0.0902,18.8088,-0.552,0.3372,1.1467,-0.0342,-3.4365,-0.3336,ok,"Figure 88. - Slash pine plantations (Barnes 1955) Florida 328 pbts, number of dominant trees not given Total height and total age, anamorphic, equation not given Site index is total height at 25 years total age Convert DBH age to total age by adding years according to site index (BH 0.0)",
110,89,Slash pine plantations,1.2144,0.9999,-0.0916,1.7968,-0.0002,0.8474,0.9983,-0.1,-1.9954,0.002,ok,"Figure 89. - Slash pine plantations (Bennett, McGee, and Clutter 1959; McGee and Bennett 1959) Georgia middle coastal plain and Carolina sandhills 310 plots, number of dominant and codominant trees not given Total height and total age, anamorphic, logarithm equation Site index is total height at 25 years total age Convert DBH age to total age by adding years according to site index (BH 0.0)",
111,90,SIash pine plantations,1.8395,1.0001,-0.0335,1.0774,0.0001,0.5135,1.0169,-0.0348,-1.2309,-0.0278,ok,"Figure 90. - SIash pine plantations (Zarnoch and Feduccia 1984) West Gutf 247 plots, some plots remeasured, plantations mostly outside natural range of slash pine Total height and plantation age, anamorphic. nonlinear regression Site index is total height at plantation age of 25 years Convert DBH age to plantation age by adding years according to site index (BH - 0.0)",
112,91,Slash pine direct-seeded,,,,,,,,,,,too_few:0,"Figure 91. - Slash pine direct-seeded (Lohrey 1987) Louisiana 218 plots in cutover forest sites that were site prepared and direct seeded; remeasurements from most plots Total height and age from seed from IO or more dominant and codominant trees on each plot, anamorphic, logarithm equation Site index is total height at 25 years age from seed Convert DBH age to plantation age by adding years according to site index (BH 0.0)",
