pdf_page,figure_no,species_common,height_b1,height_b2,height_b3,height_b4,height_b5,si_b1,si_b2,si_b3,si_b4,si_b5,parse_status,source,years_to_bh
22,1,Red maple,2.9435,0.9132,-0.0141,1.658,-0.1095,0.3263,1.0634,-0.0106,-1.2573,-0.0646,ok,"Figure 1. - Red maple (Carmean 1978). Northern Wisonsin and Upper Michingan. 174 plots having 438 dominant and codominant trees. Stem analysis, logarithm equation, polymorphic. Add 4 years to DBH age to obtain total age (BH = 0.0)",4
23,2,Sugar maple,3.3721,0.8407,-0.015,2.6208,-0.2661,0.1771,1.2075,-0.0066,-1.7003,-0.2189,ok,"Figure 2. - Sugar maple (Curtis and Post 1962, solomon 1968). Vermont Green Mountains. 67 plots having 136 dominant and codominant trees. Stem analysis, logarithm equation, anamorphic, original curves redrafter from DBH age to total age and from SI age 75 to SI age of 50. Add 4 years to DBH age to obtain total age (BH = 0.0)",4
24,3,Sugar maple,6.1308,0.6904,-0.0195,10.1563,-0.533,0.1984,1.2089,-0.011,-2.4917,-0.2542,ok,"Figure 3. - Sugar maple (Carmean 1978). Northern Wisonsin and Upper Michingan.177 plots having 721 dominant and codominant trees. Stem analysis, logarithm equation, polymorphic. Add 4 years to DBH age to obtain total age (BH = 0.0)",4
25,4,Silver maple,1.0645,0.9918,-0.0812,1.5754,-0.0272,0.8972,1.0183,-0.0769,-4.8154,-0.3162,ok,"Figure 4. - Silver maple (Brendemuehl, McComb, and Thomson 1 961 b) Southeastern Iowa 50 plots, number of dominant and codominant trees not given Total height and age, anamorphic, equation not given Add 3 years to DBH age to obtain total age (BH = 0.0)",3
26,5,Yellow birch,2.2835,0.9794,-0.0054,0.5819,-0.0281,0.5889,0.9922,-0.0096,-0.5473,0.0146,ok,"Figure 5. - Yellow birch (Curtis and Post 1962, Solomon 1968) Vermont Green Mountains 38 plots having 68 dominant and codominant trees Stem analysis, logarithm equation, anamorphic, original curves redrafted from DBH age to total age and from SI age of 75 to Sl age of 50 Add 4 years to DBH age to obtain total age (BH = 0.0)",4
27,6,Yellow birch,6.0522,0.6768,-0.0217,15.4232,-0.6354,0.1817,1.243,-0.011,-3.0184,-0.318,ok,"Figure 6. - Yellow birch (Carmean 1978) Northern Wisconsin and Upper Michigan 119 plots having 459 dominant and codominant trees Stem analysis, nonlinear regression, polymorphic Add 4 years to DBH age to obtain total age (BH 0.0)",4
28,7,Paper birch,1.598,1,-0.0198,0.9824,0,0.6258,1,-0.0198,-0.9824,0,ok,"Figure 7. - Paper birch (Cooley 1958, 1962) Northern Wisconsin (104 plots); Upper Michigan (4 plots) 108 plots, number of dominant and codominant trees not given Total height and age, anamorphic, equation not given Add 4 years to DBH age to obtain total age (BH 0.0)",4
29,8,Paper birch,1.7902,0.9522,-0.0173,1.1668,-0.1206,0.5542,1.054,-0.0184,-1.3053,-0.1435,ok,"Figure 8. - Paper birch (Curtis and Post 1962, Solomon 1968) Vermont Green Mountains 32 plots having 56 dominant and codominant trees Stem analysis, logarithm equation, anamorphic, original curves redrafted from DBH age to total age and from SI age 75 to SI age of 50 Add 4 years to DBH age to obtain total age (BH 0.0)",4
30,9,Paper birch,2.4321,0.9207,-0.0168,1.5247,-0.1042,0.5119,1.0229,-0.0167,-1.0284,-0.0049,ok,"Figure 9. - Paper birch (Carmean 1978) Northern Wisconsin and Upper Michigan 30 plots having 93 dominant and codominant trees Stem analysis, nonlinear regression, polymorphic Add 4 years to DBH age to obtain total age (BH 0.0)",4
31,10,Hickories,1.8326,1.0015,-0.0207,1.408,-0.0005,0.5243,1.0126,-0.0216,-1.5897,-0.0239,ok,"Figure 10. - Hickories (Boisen and Newlin 1910. Hampf 1965) Central States, Cumberland Mountains of Kentucky 30 plots, number of dominant trees not given Total height and age, anamorphic, equation not given Convert DBH age to total age by adding years according to site index (BH 0.0)",
32,11,American beech,29.73,0.3631,-0.0127,16.7616,-0.6804,0.2376,1.1312,-0.0109,-1.855,-0.143,ok,"Figure 11. - American beech (Carmean 1978) Northern Wisconsin and Upper Michigan 19 plots having 70 dominant and codominant trees Stem analysis, nonlinear regression, polymorphic Add 4 years to DBH age to obtain total age (BH - 0.0)",4
33,12,White ash,1.5768,0.9978,-0.0156,0.6705,0.0182,0.6835,0.9882,-0.0167,-0.6218,0.0462,ok,"Figure 12. - White ash (Curtis and Post 1962, Solomon 1968) Vermont Green Mountains 44 plots having 83 dominant and codominant trees Stem analysis, logarithm equation, anamorphic, original curves redrafted from DBH age to total age and from Sl age 75 to SI age of 50 Add 4 years to DBH age to obtain total age (BH = 0.0)",4
34,13,White ash,4.1492,0.7531,-0.0269,14.5384,-0.5811,0.1728,1.256,-0.011,-3.3605,-0.3452,ok,"Figure 13. - White ash (Carmean 1978) Northern Wisconsin and Upper Michigan 73 plots having 275 dominant and codominant trees Stem analysis, nonlinear regression, polymorphic Add 4 years to DBH age to obtain total age (BH - 0.0)",4
35,14,Black ash,4.2286,0.7857,-0.0178,4.6219,-0.3591,0.2388,1.1583,-0.0102,-1.8455,-0.1883,ok,"Figure 14. - Black ash (Carmean 1978) Northern Wisconsin and Upper Michigan 39 plots having 143 dominant and codominant trees Stem analysis, nonlinear regression, polymorphic Add 4 years to DBH age to obtain total age (BH - 0.0)",4
36,15,Green ash,1.6505,-0.0644,-0.8908,-0.0482,-0.7549,0.5672,125.7045,0.9096,-38.2659,1.099,ok,"Figure 15. - Green ash (Broadfoot 1969) Mississippi Valley alluvium - Louisiana, Mississippi, Arkansas, Tennessee Number of plots and number of dominant and codominant trees not given Stem analysis, graphically constructed anamorphic curves Add 2 years to DBH age to obtain total age (BH = 0.0)",2
37,16,Black walnut plantations,1.2898,0.9982,-0.0289,0.8546,0.0171,0.7875,0.9963,-0.0281,-0.7823,0.0353,ok,"Figure 16. - Black walnut plantations (Kellogg 1939b) Central States 188 plots, number of dominant trees not given Total height and total age, anamorphic, equation not given Determine total age from stumps or planting records (do not damage trees by using an increment borer) (BH = 0.0)",
38,17,Black walnut plantations—shallow flood plains,1.6622,0.886,-0.1113,66.8363,-1.0584,0.6204,1.0542,-0.0373,-1.9626,-0.3491,ok,"Figure 17. - Black walnut plantations - shallow flood plains (Losche and Schlesinger 1975) Southern Illinois 19 plots having 85 dominant and codominant trees Stem analysis, site index prediction equations based on linear regressions using Hegar (1968) model. Site index is height at 25 years total age (BH - 0.0)",
39,18,Black walnut plantations—deep flood plains,2.2349,0.842,-0.0808,15.0884,-0.6292,0.1758,1.2568,-0.0124,-1.9426,-0.3231,ok,"Figure 18. - Black walnut plantations - deep flood plains (Losche and Schlesinger 1975) Southern Illinois 26 plots having 108 dominant and codominant trees Stem analysis, site index prediction equations based on linear regressions using Hegar (1968) model. Site index is height at 25 years total age (BH = 0.0)",
40,19,Sweetgum,1.5932,1.0124,-0.0122,0.6245,0.013,0.6092,0.9895,-0.0113,-0.6219,0.0078,ok,"Figure 19. - Sweetgum (Trenk 1929) Maryland Number of plots and number of dominant trees not given Total height and total age, anamorphic, equation not given Convert DBH age to total age by adding years according to site index (BH = 0.0)",
41,20,Sweetgum,3.5384,0.7932,-0.0244,29.2355,-0.7291,0.0055,1.6414,-0.0026,-1.7678,-0.2712,ok,"Figure 20. - Sweetgum (Winters and Osbourne 1935) Mississippi Valley alluvium plus a few locations on alluvial soils of South Carolina, Alabama, and northern Florida 25 locations having 99 plots, number of dominant trees not given (BH = 4.5)",
42,21,Sweetgum,1.0902,1.0298,-0.0354,0.7011,0.1178,0.955,0.9639,-0.038,-0.6685,0.1478,ok,"Figure 21. - Sweetgum (Broadfoot and Krinard 1959) Mississippi Valley alluvium - Louisiana, Mississippi, Arkansas, Tennessee Number of plots and number of dominant and codominant trees not given Stem analysis, graphically constructed anamorphic curves Add 2 years to DBH age to obtain total age (BH = 0.0)",2
43,22,Sweetgum,6.0673,0.6774,-0.0391,9.6135,-0.5504,0.252,1.1879,-0.0276,-2.09,-0.2154,ok,"Figure 22. - Sweetgum (Lyle et al. 1975) Alabama 50 stands each having two dominant trees Stem analysis, nonlinear regression, polymorphic, site index is height at 25 years total age Add 2 years to DBH age to obtain total age (BH = 0.0)",2
44,23,Yellow-poplar—Piedmont,1.1798,1,-0.0339,0.8117,-0.0001,0.8323,1.0051,-0.0352,-0.9706,-0.0303,ok,"Figure 23. - Yellow-poplar - Piedmont (Beck 1 962) Piedmont of Carolinas and Virginia 117 plots having 4 to 6 dominant and codominant trees on each plot Total height and total age, anamorphic, logarithm equation Add 3 years to DBH age to obtain total age (BH 0.0)",3
45,24,Yellow-poplarMountains,1.2673,1,-0.0331,1.1149,0.0001,0.7609,1.0097,-0.0346,-1.4002,-0.0402,ok,"Figure 24. - YeIIow-poplarA40untains (Beck 1962) Southern Appalachians of western North Carolina and northern Georgia 267 plots having 4 to 6 dominant and codominant trees on each plot Total height and total age, anamorphic, logarithm equation Add 3 years to DBH age to obtain total age (BH = 0.0)",3
46,25,Yellow-poplar,1.2941,0.9892,-0.0315,-1.0471,-0.0368,0.7459,1.0184,-0.0313,-1.2121,-0.0717,ok,"Figure 25. - Yellow-poplar (Schtaegel. Kulow. and Baughman 1969) West Virginia Appalachians 123 plots, number of dominant and codominant trees not given Total height and total age, anamorphic, logarithm equation Add 3 years to DBH age to obtain total age (BH 0.0)",3
47,26,Water tupelo,1.2721,0.9995,-0.0256,0.7447,-0.0019,0.7505,1.0112,-0.0259,-0.9213,-0.0475,ok,"Figure 26. - Water tupelo (Applequist 1 959) Lower coastal plain of southeastern Georgia 17 plots having 6 to 8 dominant and codominant trees on each plot Total height and total age, anamorphic, logarithm equation Add 2 years to DBH age to obtain total age (BH - 0.0)",2
48,27,Swamp tupelo,0.8549,0.9995,-1.0375,-0.0259,,-0.0016,-0.0254,-0.0428,1.0117,,too_few:8,"Figure 27. - Swamp tupelo (Applequist 1959) Lower coastal plain of southeastern Georgia 81 plots having 6 to 8 dominant and codominant trees on each plot Total height and total age, anamorphic, logarithm equation H 1.3213 0.7224 Add 2 years to DBH age to obtain total age (BH = 0.0)",2
49,28,Cottonwood,,,,,,,,,,,too_few:0,"Figure 28. - Cottonwood (Neebe and Boyce 1959) Southern Illinois bottomlands and a few uplands 65 areas having 1 72 dominant and codominant trees Total height and total age, anamorphic, site index prediction using straight line ""curves,"" equation not given Site index is total height at 25 years total age Add 2 years to DBH age to obtain total age (BH = 0.0)",2
50,29,Cottonwood,1.9426,0.8886,-0.064,21.0753,-0.6786,0.4754,1.119,-0.0429,-5.6452,-0.4912,ok,"Figure 29. - Cottonwood (Broadfoot 1960) Mississippi Valley alluvium - Louisiana, Mississippi, Arkansas, Tennessee, Missouri, Kentucky Number of plots and number of dominant and codominant trees not given Stem analysis, graphically constructed anamorphic curves, site index is height at 30 years total age Add 2 years to DBH age to obtain total age (BH = 0.0)",2
51,30,Cottonwood,,,,,,,,,,,too_few:0,"Figure 30. - Cottonwood (Brendemuehl 1965) Iowa bottomlands 66 plots, number of dominant and codominant trees not given Total height and total age, anamorphic, equation not given Add 2 years to DBH age to obtain total age (BH 0.0)",2
52,31,Ouaking aspen,1.4475,1.0098,-0.02,0.8489,0.0146,0.6755,1,-0.0213,-0.9367,-0.0002,ok,"Figure 31. - Ouaking aspen (Gevorkiantz 1956a, from Kittredge and Gevorkiantz 1929) Number of plots and number of dominant and codominant trees not given Total height and total age, anamorphic, equation not given Add 4 years to DBH age to obtain total age (BH = 0.0)",4
53,32,Bigtooth and quaking aspens,5.2188,0.6855,-0.0301,50.0071,-0.8695,0.0612,1.439,-0.005,-3.908,-0.435,ok,"Figure 32. - Bigtooth and quaking aspens (Carmean 1978) Northern Wisconsin and Upper Michigan 13 plots having 42 dominant and codominant trees Stem analysis, nonlinear regression, polymorphic Add 4 years to DBH age to obtain total age (BH = 0.0)",4
54,33,Quaking aspen,2.1567,0.9374,-0.0155,2.4997,-0.2338,0.2356,1.1332,-0.0082,-1.0342,-1.0772,ok,"Figure 33. - Quaking aspen (Deschamps 1989) North central Ontario 99 plots having 3 dominant and codominant trees per plot Stem analysis, nonlinear regression, polymorphic Site index is total height at 50 years breast height age (BH = 0.0)",
55,34,Black cherry,5.1493,0.6948,-0.0248,20.921,-0.7143,0.1073,1.3455,-0.007,-3.3034,-0.3899,ok,"Figure 34. - BIack cherry (Carmean 1 978) Northern Wisconsin and Upper Michigan 42 plots having 126 dominant and codominant trees Stem analysis, nonlinear regression, polymorphic Add 4 years to DBH age to obtain total age (BH = 0.0)",4
56,35,Black cherry,7.1846,0.6781,-0.0222,13.9186,-2.4168,0.0063,1.6337,-0.001,-0.5268,-0.2635,ok,"Figure 35. - Black cherry (Auchmoody and Rexrode 1984) Northwestern Pennsylvania Allegheny Plateau 6 stands having 39 dominant and codominant trees Stem analysis, site index prediction equations based on second degree quadratic regressions Add 4 years to DBH age to obtain total age (BH 0.0)",4
57,36,Upland oaks,2.1037,0.914,-0.0275,3.7962,-0.253,0.189,1.2031,-0.0081,-2.1975,-0.2582,ok,"Figure 36. - Upland oaks (Schnur 1937) 80 90 80 70 60 50 40 SITE INDEX 100 Michigan south to Georgia, Missouri east to Pennsylvania and Maryland 404 plots, combined data for white, blad(, scarlet, chestnut, and red oaks; number of dominant and codominant trees not given Total height and total age, anamorphic, equation not given Add 3 years to DBH age to obtain total age (BH = 0.0)",3
58,37,Upland oaks,1.2866,0.9962,-0.0355,1.4485,-1.5038,0.7709,1.0063,-0.0356,-0.0316,-0.0419,ok,"Figure 37. - Upland oaks (Olson 1959) Virginia-Carolina Piedmont and northern Appalachian Mountains 269 plots in Piedmont, 428 plots in Appalachians, combined data for white, northern red, southern red, scarlet, black, and chestnut oaks; number of dominant and codominant trees not given Total height and total age, logarithm equation, anamorphic Add 3 years to DBH age to obtain total age (BH 0.0)",3
59,38,Northern red oak and black oak,0.4737,1.2905,0.0979,-0.0236,-0.1886,1.6229,0.8134,0.6121,-0.0439,0.6157,trimmed:11,"Figure 38. - Northern red oak and black oak (Graney and Bower 1971 ) Boston Mountains of Arkansas Number of plots not given, 142 dominant and codominant trees Stem analysis, polynomial equation, anamorphic Add 3 years to DBH age to obtain total age (BH = 0.0)",3
60,39,Black. scarlet. and white oaks,4.9676,-0.7459,-0.0154,7.364,-0.5144,0.0064,1.6595,-0.0003,-1.866,-0.2916,ok,"Figure 39. - Black. scarlet. and white oaks (McQuilkin 1974, 1978) Missouri Ozarks - Clark and Mark Twain National Forests Number of plots not given; combined data for 399 black oak, 276 white oak, and 66 scarlet oak dominant and codominant trees Stem analysis, anamorphic. site index prediction equations using Hegar (1968) model, separate equations for black and scarlet oak, and for white oak (McQuilkin 1974) Add 2 years to DBH age to obtain total age (BH 0.0)",2
61,40,White oak,0.5605,1.3105,-0.0145,0.1779,0.4323,1.404,0.8163,-0.0314,-0.3078,0.426,ok,"Figure 40. - White oak (Graney and Bower 1971) Boston Mountains of Arkansas Number of plots not given. 136 dominant and codominant trees Stem analysis, polynomial equation, anamorphic Add 3 years to DBH age to obtain total age (BH 0.0)",3
62,41,White oak,2.241,0.8136,4.5598,1.0135,-0.9644,-0.188,-0.0132,0.3387,-0.0076,-0.0176,ok,"Figure 41. - White oak (Carmean 1971, 1972) Unglaciated uplands of southeastern Ohio, eastern Kentucky, southern Indiana, southern Illinois, and southern Missouri 41 plots having 112 dominant and codominant trees Stem analysis, nonlinear regression, polymorphic Add 3 years to DBH age to obtain total age (BH = 0.0)",3
63,42,Scarlet oak,,,,,,,,,,,too_few:0,"Figure 42. - Scarlet oak (Carmean 1971, 1972) Unglaciated uplands of southeastern Ohio, eastern Kentucky, southern Illinois, and southern Missouri 25 plots having 88 dominant and codominant trees Stem analysis, nonlinear regression, polymorphic Add 3 years to DBH age to obtain total age (BH = 0.0)",3
64,43,Cherrybark oak,1.0945,0.9938,-0.0755,2.5601,-1.8868,0.9452,0.9987,-0.0762,0.0114,0.0861,ok,"Figure 43. - Cherrybark oak (Broadfoot 1961) Mississippi Valley alluvium - Louisiana, Mississippi. Arkansas. Tennessee Number of plots and number of dominant and codominant trees not given Stem analysis. graphically constructed anamorphic curves Add 2 years to DBH age to obtain total age (BH 0.0)",2
65,44,Water oak,1.3466,8.9538,0.959,1.0415,-6.1926,0.7317,-0.3454,-0.0574,-0.0504,-0.3191,ok,"Figure 44. - Water oak (Broadfoot 1963) Mississippi Valley alluvium - Louisiana, Mississippi, Arkansas, Tennessee Number of plots and number of dominant and codominant trees not given Stem analysis, graphically constructed anamorphic curves Add 2 years to DBH age to obtain total age (BH 0.0)",2
66,45,Nuttall oak,1.3295,0.9565,16.0085,-0.0597,-0.3709,0.7488,1.0424,-0.4157,-10.0941,,too_few:9,"Figure 45. - NuttaII oak (Broadfoot 1969) Mississippi Valley alluvium - Louisiana, Mississippi, Arkansas. Tennessee Number of dominant and codominant trees not given Stem analysis, graphicalty constructed anamorphic curves Add 2 years to DBH age to obtain total age (BH 0.0)",2
67,46,Chestnut oak,1.9044,-0.0162,0.9262,-0.0583,-0.01,0.9752,0,0.4124,1.0394,-0.998,ok,"Figure 46. - Chestnut oak (Carmean 1971, 1 972) Unglaciated uplands of southeastern Ohio, eastern Kentucky, and southern Indiana 1 8 plots having 59 dominant and codominant trees Stem analysis, nonlinear regression, polymorphic Add 3 years to DBH age to obtain total age (BH = 0.0)",3
68,47,Northern red oak,1.5403,1.0006,-0.0216,1.0616,-0.0044,1,0.9058,-0.0269,-0.5382,0.2108,ok,"Figure 47. - Northern red oak (Gevorkiantz 1957b) Southwestern Wisconsin Number of plots and number of dominant and codominant trees not given Total height and total age, anamorphic, equation not given Add 4 years to DBH age to obtain total age (BH = 0.0)",4
69,48,Northern red oak,6.1785,0.6619,-0.0241,25.0185,-0.74,0.1692,1.2648,-0.011,-3.4334,-0.3557,ok,"Figure 48. - Northern red oak (Carmean 1978) Northern Wisconsin and Upper Michigan 37 plots having 136 dominant and codominant trees Stem analysis, nonlinear regression, polymorphic Add 4 years to DBH age to obtain total age (BH 0.0)",4
70,49,Black oak,2.9989,0.8435,-0.02,3.4635,-0.302,0.2598,1.1721,-0.0107,-2.3272,-0.2825,ok,"Figure 49. - Black oak (Carmean 1971, 1972) Unglaciated uplands of southeastern Ohio, eastern Kentucky, southern Indiana, and southern Missouri 120 plots having 300 dominant and codominant trees Stem analysis, nonlinear regression, polymorphic Add 3 years to DBH age to obtain total age (BH - 0.0)",3
71,50,Black locust plantations,0.968,1.0301,-0.0468,0.1639,0.4127,0.9411,0.9941,-0.0535,-0.46,0.2242,ok,"Figure 50. - BIack locust plantations (Kellogg 1939a) Central States 170 plots, number of dominant trees not given Total height and total age, anamorphic, equation not given Convert DBH age to total age by adding years according to site index (BH 0.0)",
72,51,American basswood,4.7633,0.7576,-0.0194,6.511,-0.4156,0.1921,1.201,-0.01,-2.3009,-0.2331,ok,"Figure 51. - American basswood (Carmean 1978) Northern Wisconsin and Upper Michigan 122 plots having 483 dominant and codominant trees Stem analysis, nonlinear regression, polymorphic Add 4 years to DBH age to obtain total age (BH - 0.0)",4
73,52,American elm,1.037,0.2655,-0.003,0.8807,-0.114,1.133,1.1906,0.1391,-0.016,-0.4054,ok,"Figure 52. - American elm (Brendemuehl, McComb, and Thomson 1 961 a) Southern Iowa Number of plots and number of dominant and codominant trees not given Total height and total age, anamorphic, equation not given Add 3 years to DBH age to obtain total age (BH = 0.0)",3
74,53,American elm,6.4362,0.6827,-0.0194,10.9767,-0.5477,0.1898,1.2186,-0.011,-2.6865,-0.2717,ok,"Figure 53. - American elm (Carmean 1978) Northern Wisconsin and Upper Michigan 109 plots having 416 dominant and codominant trees Stem analysis, nonlinear regression, polymorphic Add 4 years to DBH age to obtain total age (BH - 0.0)",4
75,54,Balsam fir,1.0438,1.0708,-0.0222,1.5915,-0.1068,0.4358,1.065,-0.0179,-0.7497,0.0251,ok,"Figure 54. - Balsam fir (Gevorkiantz 1956b) Lake States Number of plots and number of dominant and codominant trees not given Total height and breast height age, anamorphic, equation not given Site index is total height of dominant and codominant trees at 50 years breast height age (BH = 4.5)",
76,55,Balsam fir,2.077,0.9303,-0.0285,2.8937,-0.1414,0.41,1.0799,-0.0205,-2.1577,-0.1295,ok,"Figure 55. - Balsam fir (Carmean and Hahn 1981, revision of Gevorkiantz 1956b) Lake States Number of plots and number of dominant and codominant trees not given Total height and total age, anamorphic, Gevorkiantz (1956b) equation not given Convert DBH age to total age by adding years according to site index (BH 0.0)",
77,56,Balsam fir,-0.0111,6.4229,-0.4586,,,-0.00019,-1.0286,-0.0723,,,too_few:6,"Figure 56. - Balsam fir (Griffin and Johnson 1980) Northern Maine (Aroostock and Piscataquis Counties) 42 pbts using stem analysis of ""six tallest trees"" (dominants) on each plot; trees older than 45 years breast height age Stem analysis, quadratic regression, polymorphic Site index is height of dominant trees at 50 years breast height H Sl 8.1200 0.0061 age (BH be 0.6748 1.3539 0.0)",
78,57,Atlantic white-cedar,1.5341,1.0013,-0.0208,0.9986,-0.0012,0.6528,1,-0.0213,-1.0243,-0.0046,ok,"Figure 57. - Atlantic white-cedar (Korstian and Brush 1931) Florida to Massachusetts 63 plots, number of dominant trees not given Total height and total age, anamorphic, equation not given Convert DBH age to total age by adding years according to site index (BH - 0.0)",
79,58,Eastern redcedar,0.9276,1.0591,-0.0424,0.3529,0.3114,0.8965,0.9895,-0.0397,-1.0981,-0.0242,ok,"Figure 58. - Eastern redcedar (Hampf 1 965) Tennessee Valley ""Based on 271 observations"" Total height and total age of dominants, anamorphic, equation not given Conven DBH age to total age by adding years according to site index (BH 0.0)",
80,59,European larch plantations,1.1151,1,-0.0504,0.0009,-1.4863,0.8821,1.0047,-0.051,1.3076,-0.0271,trimmed:12,"Figure 59. - European larch plantations (Aird and Stone 1955, Stone 1957) New York and southern New England 147 plots, number of dominants and codominants not given Total height and total age, anamorphic, logarithm equation Add 3 years to DBH age to obtain total age (BH - 0.0)",3
81,60,Tamarack,1.547,1,-0.0225,1.1129,0,0.6464,1,-0.0225,-1.1129,0,ok,"Figure 60. - Tamarack (Gevorkiantz 1957d) Minnesota Number of plots and number of dominant and codominant trees not given Total height and total age, anamorphic, equation not given Convert DBH age to total age by adding years according to site index (BH = 0.0)",
82,61,Japanese larch plantations,,,,,,,,,,,too_few:0,"Figure 61. - Japanese larch plantations (Aird and Stone 1955, Stone 1957) Southern portion of upper New York 25 plots, number of dominants and codominants not given Total height and total age, anamorphic, logarithm equation not given Add 3 years to DBH age to obtain total age (BH 0.0)",3
83,62,Spruces,-0.0018,1.2495,-0.0944,,,-0.00024,-1.1102,,,,too_few:5,"Figure 62. - Spruces (Griffin and Johnson 1980) Northern Maine (Aroostock and Piscataquis Counties) 40 plots combining data for red, white, and black spruces; ""six tallest trees' (dominants) on each plot; trees older than 45 years breast height age Stem analysis, quadratic regression, polymorphk: Site index is height of dominant trees at 50 years breast height H Sl 1.0716 0.0063 age (BH b 1.1276 1.3985 4.5)",
84,63,Norway spruce plantations,6.7791,0.6876,-0.028,12.1447,-0.4142,0.0259,1.2496,-0.0021,-1.7841,-0.1088,ok,"Figure 63. - Norway spruce plantations (Wilde et al. 1965) Wisconsin Number of plots and number of dominant trees not given Total height and total age, anamorphic curves based on average of Wilde's two height growth curves Convert DBH age to total age by adding years according to site index (BH 0.0)",
